,Parcel_No,review,date_2016,address,add_ver,add_rev,add_corr,proptype,units,othertype,propstatus,#_stories,add_mlbox,add_house,add_marker,add_notvis,stsign_vis,streetligh,MIN_NO,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_STEPS,MIN_PORCH,MIN_SKIRT,MIN_RAILS,MAJ_NO,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_SKIRT,Yard,condition,sidewalks,trees,junk,lit_ditch,lit_yard,lit_officials,lit_none,Comments,Pic1,Pic2,Pic3,Pic4,long,lat,MIN_TOTAL,MAJ_TOTAL,MnMj_total,conditions,other_tot,lit_tot,ParcCount,rec_id
388,M21 086,Allison Drew ,6/24/2016,841 BUCKHEAD ROAD,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,major_cleanup_,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002436?filename=communitymapuga/attachments/1466780197432.jpg,http://ona.io/api/v1/files/2002437?filename=communitymapuga/attachments/1466780229839.jpg,None,None,-81.95351011,32.80913435,5,1,6,Dilapidated,0,0,1,M21 086459
389,M21 087,Polly Dailey,6/24/2016,0 COOPER LANE,no,Unknown,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,major_cleanup_,poor,No,No,Yes,No,Yes,Yes,No,None,http://ona.io/api/v1/files/2002502?filename=communitymapuga/attachments/1466780415762.jpg,http://ona.io/api/v1/files/2002503?filename=communitymapuga/attachments/1466780455782.jpg,None,None,-81.95371621,32.80914619,6,5,11,Dilapidated,3,2,1,M21 087460
390,M21 088,Jacinda,6/21/2016,414 COOPER AVENUE,yes,n/a,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,no,Unknown,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,major_cleanup_,poor,No,Yes,Yes,No,Yes,No,No,Extreme hazardous conditions ,http://ona.io/api/v1/files/1986362?filename=communitymapuga/attachments/1466555155145.jpg,http://ona.io/api/v1/files/1986361?filename=communitymapuga/attachments/1466555185021.jpg,http://ona.io/api/v1/files/1986364?filename=communitymapuga/attachments/1466555198452.jpg,None,-81.95395913,32.80916034,13,8,21,Dilapidated,3,1,1,M21 088461
393,M21 090,Allison Drew ,6/24/2016,0 COOPER LANE,no,Unknown,no,vacant,n/a,n/a,unknown,n/a,No,No,No,Yes,yes,Unknown,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,satisfactory,n/a,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002445?filename=communitymapuga/attachments/1466781249544.jpg,None,None,None,-81.95460859,32.80919801,0,0,0,Standard,0,0,1,M21 090462
398,M21 093,Polly Dailey,6/24/2016,425 COOPER AVENUE,no,Unknown,no,Mobile home (single parcels),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,major_cleanup_,poor,No,Yes,Yes,No,No,Yes,No,None,http://ona.io/api/v1/files/2002515?filename=communitymapuga/attachments/1466780881309.jpg,http://ona.io/api/v1/files/2002514?filename=communitymapuga/attachments/1466780910776.jpg,http://ona.io/api/v1/files/2002513?filename=communitymapuga/attachments/1466780939995.jpg,None,-81.95423294,32.80883462,5,4,9,Dilapidated,3,1,1,M21 093463
399,M21 094,Angela Moore ,6/24/2016,419 COOPER LANE,yes,n/a,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002448?filename=communitymapuga/attachments/1466780992775.jpg,http://ona.io/api/v1/files/2002447?filename=communitymapuga/attachments/1466781003839.jpg,None,None,-81.95400563,32.80882146,1,0,1,Standard,0,0,1,M21 094464
400,M21 095,Angela Moore ,6/24/2016,0 COOPER LANE,no,413 Cooper Lane ,no,Single family (no garage),n/a,n/a,unknown,one,No,Yes,No,No,yes,1-2,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,major_cleanup_,poor,No,Yes,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002442?filename=communitymapuga/attachments/1466780581694.jpg,http://ona.io/api/v1/files/2002441?filename=communitymapuga/attachments/1466780590040.jpg,http://ona.io/api/v1/files/2002440?filename=communitymapuga/attachments/1466780599556.jpg,None,-81.95377832,32.80880829,3,2,5,Dilapidated,1,0,1,M21 095465
403,M21 096A,Angela Moore ,6/24/2016,0 BUCKHEAD ROAD,no,Unknown ,no,vacant,n/a,n/a,vacant_unoccup,n/a,No,No,No,Yes,yes,1-2,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,overgrown__inc,n/a,No,Yes,No,No,Yes,No,No,None,http://ona.io/api/v1/files/2002425?filename=communitymapuga/attachments/1466779833196.jpg,None,None,None,-81.95354458,32.80872865,0,0,0,Standard,2,1,1,M21 096A466
409,M21 099,Angela Moore ,6/24/2016,0 BUCKHEAD ROAD,no,727 Bulkhead Road,yes,Mobile home (multiple parcels),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002419?filename=communitymapuga/attachments/1466778541531.jpg,http://ona.io/api/v1/files/2002420?filename=communitymapuga/attachments/1466778558264.jpg,None,None,-81.95417359,32.80801056,0,0,0,Standard,0,0,1,M21 099467
410,M21 100,Polly Dailey,6/24/2016,719 BUCKHEAD ROAD,no,Unknown,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002471?filename=communitymapuga/attachments/1466778258740.jpg,None,None,None,-81.95387324,32.80771895,0,0,0,Standard,0,0,1,M21 100468
411,M21 100A,Polly Dailey,6/24/2016,441 DREXEL AVENUE,no,"House says address is 438, mailbox says 443",no,Single family (no garage),n/a,n/a,occupied,one,Yes,Yes,No,No,yes,Unknown,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002549?filename=communitymapuga/attachments/1466789881226.jpg,http://ona.io/api/v1/files/2002550?filename=communitymapuga/attachments/1466789929324.jpg,None,None,-81.9547482,32.80762888,0,0,0,Standard,0,0,1,M21 100A469
412,M21 101,Angela Moore ,6/24/2016,0 DREXEL AVENUE,no,Unknown ,no,vacant,n/a,n/a,vacant_unoccup,n/a,No,No,No,Yes,yes,1-2,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,overgrown__inc,n/a,No,Yes,Yes,Yes,No,No,No,None,http://ona.io/api/v1/files/2002415?filename=communitymapuga/attachments/1466778316485.jpg,http://ona.io/api/v1/files/2002413?filename=communitymapuga/attachments/1466778326500.jpg,http://ona.io/api/v1/files/2002414?filename=communitymapuga/attachments/1466778338249.jpg,None,-81.95389643,32.80744339,0,0,0,Standard,3,1,1,M21 101470
415,M22 009A,Pam,6/14/2016,0 E WINTHROPE AVENUE,no,Johnson St,no,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,major_cleanup_,poor,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1928518?filename=communitymapuga/attachments/1465929768198.jpg,http://ona.io/api/v1/files/1928519?filename=communitymapuga/attachments/1465929787217.jpg,http://ona.io/api/v1/files/1928517?filename=communitymapuga/attachments/1465929810496.jpg,None,-81.95018458,32.8038573,5,2,7,Dilapidated,0,0,1,M22 009A471
419,M22 013,Pam,6/22/2016,0 W ATWELL AVENUE,no,122 Atwell Ave.,yes,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,Yes,No,No,yes,four_plus,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,major_cleanup_,poor,Yes,Yes,Yes,No,No,Yes,No,None,http://ona.io/api/v1/files/1987334?filename=communitymapuga/attachments/1466624458987.jpg,http://ona.io/api/v1/files/1987335?filename=communitymapuga/attachments/1466624466922.jpg,http://ona.io/api/v1/files/1987333?filename=communitymapuga/attachments/1466624477737.jpg,None,-81.94966006,32.8047642,1,5,6,Dilapidated,4,1,1,M22 013472
420,M22 014,Mandy,6/23/2016,528 GILMER STREET,yes,n/a,yes,Single family (attached garage),n/a,n/a,vacant_unoccup,one,Yes,Yes,No,No,yes,3-4,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,major_cleanup_,poor,Yes,No,Yes,No,No,Yes,No,None,http://ona.io/api/v1/files/1997272?filename=communitymapuga/attachments/1466708557838.jpg,http://ona.io/api/v1/files/1997271?filename=communitymapuga/attachments/1466708567504.jpg,http://ona.io/api/v1/files/1997269?filename=communitymapuga/attachments/1466708590947.jpg,None,-81.94983504,32.80569578,4,1,5,Dilapidated,3,1,1,M22 014473
424,M22 016,Pam,6/14/2016,0 GILMER STREET,no,185 Johnson St.,no,Mobile home (multiple parcels),n/a,n/a,occupied,one,Yes,No,No,No,yes,1-2,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,major_cleanup_,poor,No,Yes,Yes,No,Yes,No,No,"Second mobile home on lot. Dry rotted facia. Old sofa, buggies on yard. Rails on porch unsafe.",http://ona.io/api/v1/files/1928523?filename=communitymapuga/attachments/1465931762978.jpg,http://ona.io/api/v1/files/1928524?filename=communitymapuga/attachments/1465931773476.jpg,http://ona.io/api/v1/files/1928525?filename=communitymapuga/attachments/1465931788277.jpg,http://ona.io/api/v1/files/1928522?filename=communitymapuga/attachments/1465931827695.jpg,-81.94978879,32.80629666,3,1,4,Substandard,3,1,1,M22 016474
427,M22 020,"K

",6/14/2016,0 DREXEL AVENUE,no,Johnson street,no,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,3-4,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,major_cleanup_,poor,No,No,Yes,No,No,No,Yes,No,http://ona.io/api/v1/files/1928530?filename=communitymapuga/attachments/1465929133458.jpg,http://ona.io/api/v1/files/1928529?filename=communitymapuga/attachments/1465929147538.jpg,http://ona.io/api/v1/files/1928531?filename=communitymapuga/attachments/1465929158835.jpg,None,-81.95094526,32.80680017,8,4,12,Dilapidated,1,0,1,M22 020475
434,M22 025,LME,6/24/2016,0 WILLIAMS AVENUE,no,227 Williams Ave.,yes,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,needs_to_be_mo,fair,Yes,No,No,No,No,No,Yes,Is a day care,http://ona.io/api/v1/files/2002085?filename=communitymapuga/attachments/1466778222821.jpg,http://ona.io/api/v1/files/2002086?filename=communitymapuga/attachments/1466778243916.jpg,http://ona.io/api/v1/files/2002087?filename=communitymapuga/attachments/1466778259303.jpg,None,-81.95096806,32.80642054,4,0,4,Dilapidated,1,0,1,M22 025476
435,M22 029B,Pam,6/22/2016,317 PALMER ROW,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,Yes,No,No,No,yes,1-2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,Dilapidated storage house in back,http://ona.io/api/v1/files/1987361?filename=communitymapuga/attachments/1466626859326.jpg,None,None,None,-81.95234851,32.80455177,1,0,1,Standard,0,0,1,M22 029B477
438,M22 029D,Pam,6/22/2016,301 PALMER ROW,no,302 Palmer Row,yes,Single family (attached garage),n/a,n/a,occupied,one,Yes,No,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987354?filename=communitymapuga/attachments/1466626278487.jpg,None,None,None,-81.95180314,32.80464623,0,0,0,Standard,0,0,1,M22 029D478
439,M22 029E,Pam,6/22/2016,243 PALMER ROW,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,Yes,No,No,No,yes,1-2,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,needs_to_be_mo,fair,No,No,No,Yes,No,No,No,None,http://ona.io/api/v1/files/1987348?filename=communitymapuga/attachments/1466626033637.jpg,None,None,None,-81.95156027,32.80463238,2,0,2,Substandard,1,1,1,M22 029E479
440,M22 029F,Pam,6/22/2016,0 PALMER ROW,no,Unknown,yes,vacant,n/a,n/a,vacant_unoccup,n/a,No,No,No,Yes,yes,1-2,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,needs_to_be_mo,n/a,No,No,No,No,No,No,Yes,Planted garden,http://ona.io/api/v1/files/1987347?filename=communitymapuga/attachments/1466625821203.jpg,None,None,None,-81.95131673,32.80461836,0,0,0,Standard,0,0,1,M22 029F480
441,M22 029G,Pam,6/22/2016,227 PALMER ROW,yes,n/a,yes,Single family (attached garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,Yes,No,No,No,Yes,Little junk in back yard,http://ona.io/api/v1/files/1987342?filename=communitymapuga/attachments/1466625636702.jpg,None,None,None,-81.95107319,32.80460435,0,0,0,Standard,1,0,1,M22 029G481
442,M22 029H,Pam,6/22/2016,221 PALMER ROW,no,Unsure,yes,Single family (attached garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,needs_to_be_mo,good,No,No,Yes,No,No,No,Yes,Some junk in yard but house looks good,http://ona.io/api/v1/files/1987341?filename=communitymapuga/attachments/1466625445687.jpg,None,None,None,-81.95082964,32.80459033,0,0,0,Standard,1,0,1,M22 029H482
443,M22 029K,Pam,6/22/2016,419 GILMER STREET,yes,n/a,yes,Single family (attached garage),n/a,n/a,occupied,two,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,needs_to_be_mo,fair,No,No,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/1987339?filename=communitymapuga/attachments/1466625065539.jpg,http://ona.io/api/v1/files/1987340?filename=communitymapuga/attachments/1466625138435.jpg,None,None,-81.95049269,32.80472484,1,0,1,Standard,2,1,1,M22 029K483
444,M22 031,Mandy ,6/22/2016,0 W WINTHROPE AVENUE,no,Unknown ,no,vacant,n/a,n/a,unknown,n/a,No,No,No,Yes,yes,1-2,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,needs_to_be_mo,n/a,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987332?filename=communitymapuga/attachments/1466625397886.jpg,http://ona.io/api/v1/files/1987331?filename=communitymapuga/attachments/1466625403507.jpg,None,None,-81.95060222,32.80399794,0,0,0,Standard,0,0,1,M22 031484
445,M22 033,Mandy ,6/22/2016,413 PALMER ROW,no,Unknown ,no,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,major_cleanup_,poor,No,No,No,No,No,No,Yes,Needs to be torn down,http://ona.io/api/v1/files/1987346?filename=communitymapuga/attachments/1466625653937.jpg,http://ona.io/api/v1/files/1987344?filename=communitymapuga/attachments/1466625670756.jpg,http://ona.io/api/v1/files/1987345?filename=communitymapuga/attachments/1466625687321.jpg,None,-81.95121543,32.80411038,7,6,13,Dilapidated,0,0,1,M22 033485
446,M22 034,Mandy ,6/22/2016,0 PALMER ROW,no,42 Palmer row,yes,Mobile home (single parcels),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987352?filename=communitymapuga/attachments/1466625933322.jpg,http://ona.io/api/v1/files/1987353?filename=communitymapuga/attachments/1466625942472.jpg,None,None,-81.9514537,32.80412145,0,0,0,Standard,0,0,1,M22 034486
447,M22 036,Mandy ,6/22/2016,0 W WINTHROPE AVENUE,no,248 Palmer row ,yes,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,Yes,No,No,yes,1-2,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,needs_to_be_mo,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987355?filename=communitymapuga/attachments/1466626160055.jpg,None,None,None,-81.95164543,32.8040341,7,0,7,Dilapidated,0,0,1,M22 036487
448,M22 037,Mandy ,6/22/2016,0 W WINTHROPE AVENUE,no,Unknown ,no,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987360?filename=communitymapuga/attachments/1466626345904.jpg,http://ona.io/api/v1/files/1987359?filename=communitymapuga/attachments/1466626353820.jpg,http://ona.io/api/v1/files/1987358?filename=communitymapuga/attachments/1466626371440.jpg,None,-81.95182752,32.80404045,5,0,5,Dilapidated,0,0,1,M22 037488
449,M22 039,Mandy ,6/22/2016,321 W WINTHROPE AVENUE,yes,n/a,no,vacant,n/a,n/a,unknown,n/a,No,No,No,Yes,yes,1-2,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,satisfactory,n/a,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987364?filename=communitymapuga/attachments/1466626582604.jpg,None,None,None,-81.95216591,32.80405223,0,0,0,Standard,0,0,1,M22 039489
450,M22 040,Mandy ,6/22/2016,0 W WINTHROPE AVENUE,no,Unknown ,no,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,satisfactory,fair,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987366?filename=communitymapuga/attachments/1466626818875.jpg,http://ona.io/api/v1/files/1987367?filename=communitymapuga/attachments/1466626828053.jpg,None,None,-81.95250854,32.80415549,6,3,9,Dilapidated,0,0,1,M22 040490
454,M22 042,Mandy ,6/22/2016,0 PALMER ROW,no,Unknown ,no,vacant,n/a,n/a,unknown,n/a,No,No,No,Yes,yes,1-2,n/a,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a,No,No,No,No,No,No,No,No,overgrown__inc,n/a,No,Yes,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987368?filename=communitymapuga/attachments/1466627002853.jpg,None,None,None,-81.95254473,32.80474362,0,0,0,Standard,1,0,1,M22 042491
455,M22 043,Pam,6/22/2016,0 PALMER ROW,no,Unsure,yes,Single family (detached garage),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,major_cleanup_,poor,No,Yes,Yes,No,No,Yes,No,Overgrown house and yard,http://ona.io/api/v1/files/1987363?filename=communitymapuga/attachments/1466627201815.jpg,None,None,None,-81.95273253,32.80475551,3,2,5,Dilapidated,3,1,1,M22 043492
456,M22 044,Pam,6/22/2016,337 PALMER ROW,no,Unsure,yes,Single family (detached garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,Yes,No,No,No,Yes,None,http://ona.io/api/v1/files/1987365?filename=communitymapuga/attachments/1466627463829.jpg,None,None,None,-81.95293319,32.80476822,3,0,3,Substandard,1,0,1,M22 044493
457,M22 045,PA ,6/22/2016,343 PALMER ROW,yes,n/a,yes,Single family (no garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,None,http://ona.io/api/v1/files/1987369?filename=communitymapuga/attachments/1466627656078.jpg,None,None,None,-81.95312835,32.80478059,0,0,0,Standard,0,0,1,M22 045494
458,M22 046,Pam,6/22/2016,349 PALMER ROW,no,Unsure,no,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,major_cleanup_,poor,No,No,Yes,No,No,Yes,No,Overgrown house and yard,http://ona.io/api/v1/files/1987372?filename=communitymapuga/attachments/1466627882944.jpg,None,None,None,-81.95333765,32.80465328,1,0,1,Standard,2,1,1,M22 046495
459,M22 047,Pam,6/22/2016,355 PALMER ROW,yes,n/a,yes,Single family (attached garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,1-2,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,No,No,No,No,No,Yes,Unpainted wood and dry rot on lean to garage,http://ona.io/api/v1/files/1987379?filename=communitymapuga/attachments/1466628105179.jpg,None,None,None,-81.95351369,32.80480499,2,0,2,Substandard,0,0,1,M22 047496
460,M22 060,LME,6/24/2016,0 HERNDON STREET,no,525 Williams Ave,yes,Single family (no garage),n/a,n/a,occupied,one,Yes,No,No,No,yes,3-4,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,major_cleanup_,poor,No,No,Yes,No,Yes,No,No,Windows are coming out,http://ona.io/api/v1/files/2002130?filename=communitymapuga/attachments/1466779544892.jpg,http://ona.io/api/v1/files/2002129?filename=communitymapuga/attachments/1466779558689.jpg,http://ona.io/api/v1/files/2002132?filename=communitymapuga/attachments/1466779568169.jpg,http://ona.io/api/v1/files/2002131?filename=communitymapuga/attachments/1466779593002.jpg,-81.95217577,32.80609466,7,3,10,Dilapidated,2,1,1,M22 060497
461,M22 061,LME,6/24/2016,0 WILLIAMS AVENUE,no,318 Williams Ave,yes,Mobile home (single parcels),n/a,n/a,occupied,one,No,Yes,No,No,yes,3-4,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,needs_to_be_mo,fair,No,No,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/2002141?filename=communitymapuga/attachments/1466779845632.jpg,http://ona.io/api/v1/files/2002143?filename=communitymapuga/attachments/1466779873027.jpg,http://ona.io/api/v1/files/2002142?filename=communitymapuga/attachments/1466779882148.jpg,None,-81.95248158,32.80595771,5,2,7,Dilapidated,2,1,1,M22 061498
462,M22 062,Lme,6/24/2016,328 WILLIAMS AVENUE,no,Unknown,no,Single family (no garage),n/a,n/a,occupied,one,No,No,No,Yes,yes,3-4,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,satisfactory,good,No,Yes,No,No,No,No,Yes,Shed in the back,http://ona.io/api/v1/files/2002159?filename=communitymapuga/attachments/1466780098614.jpg,http://ona.io/api/v1/files/2002160?filename=communitymapuga/attachments/1466780107464.jpg,http://ona.io/api/v1/files/2002161?filename=communitymapuga/attachments/1466780117143.jpg,http://ona.io/api/v1/files/2002162?filename=communitymapuga/attachments/1466780125296.jpg,-81.95272474,32.80597263,0,0,0,Standard,1,0,1,M22 062499
463,M22 067,LME,6/24/2016,530 BUCKHEAD/WILLIAMS RD,yes,n/a,yes,Single family (no garage),n/a,n/a,vacant_unoccup,one,No,Yes,No,No,yes,3-4,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,overgrown__inc,poor,No,Yes,No,No,No,No,Yes,None,http://ona.io/api/v1/files/2002175?filename=communitymapuga/attachments/1466780353494.jpg,http://ona.io/api/v1/files/2002177?filename=communitymapuga/attachments/1466780362077.jpg,http://ona.io/api/v1/files/2002174?filename=communitymapuga/attachments/1466780392903.jpg,http://ona.io/api/v1/files/2002176?filename=communitymapuga/attachments/1466780403595.jpg,-81.95324444,32.8061602,5,1,6,Dilapidated,1,0,1,M22 067500
464,M22 068,Becky,6/24/2016,606 BUCKHEAD ROAD,yes,n/a,no,Mobile home (single parcels),n/a,n/a,occupied,one,No,No,No,Yes,yes,1-2,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,major_cleanup_,poor,No,No,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/2002123?filename=communitymapuga/attachments/1466780458754.jpg,http://ona.io/api/v1/files/2002124?filename=communitymapuga/attachments/1466780468737.jpg,http://ona.io/api/v1/files/2002120?filename=communitymapuga/attachments/1466780493535.jpg,http://ona.io/api/v1/files/2002122?filename=communitymapuga/attachments/1466780523106.jpg,-81.95323594,32.80644674,3,0,3,Substandard,2,1,1,M22 068501
465,M22 070,Becky,6/24/2016,331 WILLIAMS ROAD,yes,n/a,yes,Single family (detached garage),n/a,n/a,occupied,one,No,Yes,No,No,yes,four_plus,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,satisfactory,fair,No,No,Yes,No,Yes,No,No,None,http://ona.io/api/v1/files/2002102?filename=communitymapuga/attachments/1466780087922.jpg,http://ona.io/api/v1/files/2002103?filename=communitymapuga/attachments/1466780115767.jpg,http://ona.io/api/v1/files/2002104?filename=communitymapuga/attachments/1466780144534.jpg,None,-81.95286932,32.80652484,1,1,2,Substandard,2,1,1,M22 070502
