repropkey,realkey,digclass,digstrat,occupancy,yr_built,efyr_built,grade,obsv_cond,no_bedrms,no_rooms,foundation,ext_walls,roofing,roof_shape,floor_cons,b_a_opt,sqb_area,sqb_fin,sqa_area,sqa_fin,db_desc,db_fin,basemtqual,d_attic,atticqual,floor_fin,int_wall,int_ceil,heat,pl_std,pl_xtra,fullbaths,halfbaths,stht_code,heatedarea,pfunc_dep,pec_dep,pcom,phy_dep,phy_ovr,ovr_val,timp_val,ovr_rsn,cdu,ovrdate,adj_points,apprname,rcn,calc_value,exists,sketch,photo,statehsflg,mavorig,mav,house_no,extension,stdirect,street_nam,sttype,unit,quad,mavovr,sb346val,localhsflg,sb346add
855,1333,R,1,1,1985,1988,0.95,3,0,6,3,10,1,2,2,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,1288,1.00,1.00,1.00,0.76,0.00,0,63156,,1.00,18991230,831.00,"MARC BOHN, AVTACS",83100,63156,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
856,1334,R,1,1,1992,1992,0.95,3,3,6,1,10,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,1456,1.00,1.00,1.00,0.80,0.00,0,76400,,1.00,18991230,955.00,"CLEGG BAZEMORE, AVTACS",95500,76400,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
858,1339,R,1,1,1963,1978,0.75,3,2,4,1,7,10,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,0,1,0,0,1056,1.00,1.00,1.00,0.51,0.00,0,27999,,1.00,18991230,549.00,"MARC BOHN, AVTACS",54900,27999,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
859,1340,R,1,1,1982,1978,0.85,3,3,6,1,10,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,3,2,0,1,1539,0.90,1.00,1.00,0.58,0.00,0,45779,,1.00,18991230,877.00,"MARC BOHN, AVTACS",87700,45779,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
860,1341,R,1,1,1968,1980,1.05,3,0,7,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,1713,1.00,1.00,1.00,0.62,0.00,0,80104,,1.00,18991230,1292.00,"CLEGG BAZEMORE, AVTACS",129200,80104,0,-1,-1,-1,0,0,0,,,,,,,0,0,0,0
861,7006,A,1,1,1955,1980,0.95,3,3,5,1,1,1,3,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,0,1,0,0,1242,1.00,1.00,1.00,0.62,0.00,0,52142,,1.00,18991230,841.00,CHRIS KIGHT - AVTACS,84100,52142,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
862,1344,R,1,1,1960,1978,1.00,3,0,6,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,3,2,0,1,1535,1.00,1.00,1.00,0.58,0.00,0,65018,,1.00,18991230,1121.00,CHRIS KIGHT - AVTACS,112100,65018,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
864,1348,R,1,1,1980,1984,1.15,3,0,0,1,2,3,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,3,2,0,0,1914,1.00,1.00,1.00,0.69,0.00,0,104121,,1.00,18991230,1509.00,"CLEGG BAZEMORE, AVTACS",150900,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
865,1350,R,1,1,1973,1981,1.00,3,0,6,1,1,1,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,1,8,1,1,0,1,0,1,1601,1.00,1.00,1.00,0.64,0.00,0,73088,,1.00,18991230,1142.00,"MARC BOHN, AVTACS",114200,73088,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
866,1352,R,1,1,1972,1976,0.85,3,0,4,1,4,1,2,2,1,0,0.00,0,0.00,1,1,3,1,3,2,8,8,1,1,0,1,0,1,1008,1.00,1.00,1.00,0.55,0.00,0,33055,,1.00,18991230,601.00,"CLEGG BAZEMORE, AVTACS",60100,33055,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
867,1356,R,1,1,1976,1981,0.95,3,3,7,1,1,1,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,3,2,0,1,2208,1.00,1.00,1.00,0.64,0.00,0,84032,,1.00,18991230,1313.00,"CLEGG BAZEMORE, AVTACS",131300,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
868,1357,R,1,1,1990,1990,1.00,3,3,5,1,2,10,2,1,0,0,0.00,0,0.00,0,0,3,0,3,2,1,8,1,1,3,2,0,1,1248,1.00,1.00,1.00,0.78,0.00,0,76206,,1.00,18991230,977.00,"CLEGG BAZEMORE, AVTACS",97700,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
869,1351,R,1,1,1900,1955,0.90,2,0,5,1,7,6,2,1,1,0,0.00,0,0.00,1,1,3,1,3,2,2,3,7,1,0,1,0,1,1036,0.40,1.00,1.00,0.17,0.00,0,4821,,1.00,18991230,709.00,LISA HODGES,70900,0,0,-1,-1,0,0,0,0,,,,,,,0,0,0,0
