fulcrum_id,parcel_num,prop_add,prop_type_name,genprop,condition,comments,lat,long,photo1,photo2,photo3,photo4,var,value
12f7ee76-d192-4678-9e01-e40e496ec68c,W17    098,202 HUBERT ST,"Single family home, no garage",Occupied   ,well maintained,blank,33.40514162477075,-82.65631793232225,16bdc7eb-9123-4598-a021-f13ce4df88a6,blank,blank,blank,exterior,ext_good
b9797354-20e1-476c-8fb4-bdd8f6497f33,W17    097,186 HUBERT ST,"Single family home, attached garage",Occupied   ,well maintained,blank,33.405150823525254,-82.65601846021956,70a53018-2e28-4ede-9345-3013c72260db,blank,blank,blank,exterior,ext_good
415d71f2-21e0-4180-9645-43d9fdc1dc8d,W17    096,138 HUBERT ST,"Single family home, no garage",Occupied   ,well maintained,blank,33.40520394361557,-82.65570781941122,13783376-4ecc-4549-9656-cae604b450fa,blank,blank,blank,exterior,ext_good
f410e244-0132-4a63-b255-883485b7fb0d,W17    093,334 JOHNSON ST,"Single family home, no garage",Occupied   ,well maintained,blank,33.405682290576316,-82.65566300566684,7310c203-6a43-497f-ad42-b3d88581025e,blank,blank,blank,exterior,ext_good
96f618ba-8a35-4e26-a031-4ff0ff9a26b3,W17    061,339 JOHNSON ST,"Single family home, no garage",Occupied   ,well maintained,blank,33.406181080367745,-82.6556441927526,0188064b-3c1e-4646-a9d6-e810af4d75e3,blank,blank,blank,exterior,ext_good
6136c77d-5f50-4f77-a919-db01ce94b062,W17    092,316 JOHNSON ST,"Single family home, no garage",Occupied   ,sound,blank,33.40567124424544,-82.6559996166221,10f228fc-d896-4c5e-a68e-4f2f30fad9f9,blank,blank,blank,exterior,ext_good
8667b76b-d7b1-4aae-88c7-9b9458daa3f5,W17    091,296 JOHNSON ST,"Single family home, no garage", Unoccupied  ,moderate rehabilitation needed,blank,33.405661033259435,-82.6563369046648,f2d050dc-fb4f-46b7-bddd-2ef4710b3b5d,blank,blank,blank,exterior,ext_repaint
fe2b77ee-a078-489e-8063-7000a2229cbb,W17    088,228 JOHNSON ST,"Single family home, attached garage",Occupied   ,well maintained,blank,33.40562490407919,-82.65748956832688,9e8077e4-e8e0-4c3b-bdb0-7e12b78077d3,blank,blank,blank,exterior,ext_good
b013e242-25c5-4803-8495-47de7eace4bf,W17    087,206 JOHNSON ST,"Single family home, no garage", Unoccupied  ,moderate rehabilitation needed,blank,33.405614726604746,-82.6578268757433,ba8a78b0-b7f2-4a2b-a124-6439de160367,blank,blank,blank,exterior,ext_repaint
eae88dd5-9225-490d-9152-9c22b56af0f6,W17    084,132 JOHNSON ST,"Single family home, attached garage",Occupied   ,well maintained,blank,33.40556781384416,-82.65916815925436,2d18a99e-d4b0-412e-8108-45925de8fcdf,blank,blank,blank,exterior,ext_good
3998743a-0c66-4fc5-ad9b-dccc006e0947,W17    082,90 JOHNSON ST,"Single family home, no garage",Occupied   ,well maintained,blank,33.405651418736596,-82.6598297691329,561b1359-d338-4d84-abd6-e6e9ea75ec4c,blank,blank,blank,exterior,ext_good
126c8f3f-dd14-465a-bcd0-0369f1cc8790,W13    056,631 MAIN STREET,"Single family home, attached garage", Unoccupied  ,sound,blank,33.40654857585454,-82.66445317756636,ce87e556-6a86-4084-811a-4ec209a14a95,blank,blank,blank,exterior,ext_repaint
